RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155722 Points)
Time (s)	Current (mAh)
473932	-20.1
474532	-20.1
475132	-20.1
475732	-20.1
476332	-20.1
476932	-20.1
477532	-20.1
478132	-20.1
478732	-20.1
479332	-20.1
479932	-20.1
480532	-20.1
481132	-20.1
481732	-20.1
482332	-20.1
482932	-20.1
483532	-20.1
484132	-20.1
484732	-20.1
485332	-20.1
485932	-20.1
486532	-20.1
487132	-20.1
487732	-20.1
488332	-20.1
488932	-20.1
489532	-20.1
490132	-20.1
490732	-20.1
491332	-20.1
491932	-20.1
492383	-20.1
492532	-20.1
492892	-20.1
493132	-20.1
493414	-20.1
493661	-20.1
493732	-20.1
493937	-20.1
494117	-20.1
494272	-20.1
494285	-20.1
494285	20.1
494333	20.1
494434	20.1
494569	20.1
494734	20.1
494885	20.1
495114	20.1
495391	20.1
495485	20.1
495837	20.1
496085	20.1
496561	20.1
496685	20.1
497285	20.1
497885	20.1
498485	20.1
499085	20.1
499685	20.1
500285	20.1
500885	20.1
501485	20.1
502085	20.1
502685	20.1
503285	20.1
503885	20.1
504485	20.1
505085	20.1
505685	20.1
506285	20.1
506885	20.1
507485	20.1
508085	20.1
508685	20.1
509285	20.1
509885	20.1
510485	20.1
511085	20.1
511685	20.1
512285	20.1
512885	20.1
513485	20.1
514085	20.1
514685	20.1
515285	20.1
515885	20.1
516485	20.1
517085	20.1
517685	20.1
518285	20.1
518885	20.1
519485	20.1
520085	20.1
520685	20.1
521285	20.1
521885	20.1
522485	20.1
523085	20.1
523685	20.1
524285	20.1
524885	20.1
525485	20.1
526085	20.1
526685	20.1
527285	20.1
527885	20.1
528485	20.1
529085	20.1
529685	20.1
530285	20.1
530885	20.1
531485	20.1
532085	20.1
532685	11.9
532737	10.1
532737	-20.1
533337	-20.1
533937	-20.1
534537	-20.1
535137	-20.1
535737	-20.1
536337	-20.1
536937	-20.1
537537	-20.1
538137	-20.1
538737	-20.1
539337	-20.1
539937	-20.1
540537	-20.1
541137	-20.1
541737	-20.1
542337	-20.1
542937	-20.1
543537	-20.1
544137	-20.1
544737	-20.1
545337	-20.1
545937	-20.1
546537	-20.1
547137	-20.1
547737	-20.1
548337	-20.1
548937	-20.1
549537	-20.1
550137	-20.1
550737	-20.1
551337	-20.1
551937	-20.1
552537	-20.1
553137	-20.1
553737	-20.1
554337	-20.1
554937	-20.1
555537	-20.1
556137	-20.1
556737	-20.1
557337	-20.1
557937	-20.1
558537	-20.1
559137	-20.1
559737	-20.1
560337	-20.1
560937	-20.1
561537	-20.1
562137	-20.1
562737	-20.1
563337	-20.1
563937	-20.1
564537	-20.1
565137	-20.1
565737	-20.1
566337	-20.1
566937	-20.1
567537	-20.1
568137	-20.1
568737	-20.1
569183	-20.1
569337	-20.1
569694	-20.1
569937	-20.1
570215	-20.1
570458	-20.1
570537	-20.1
570738	-20.1
570912	-20.1
571050	-20.1
571050	20.1
571098	20.1
571200	20.1
571334	20.1
571497	20.1
571650	20.1
571879	20.1
572154	20.1
572250	20.1
572602	20.1
572850	20.1
573329	20.1
573450	20.1
574050	20.1
574650	20.1
575250	20.1
575850	20.1
576450	20.1
577050	20.1
577650	20.1
578250	20.1
578850	20.1
579450	20.1
